Local_Timestamp,Unix_Time,Address_IP,Count_Number,Host_Name_Text,Hits_Number
Tue Mar  1 05:12:39 2016,1456805559:,1.2.152.16,1,node-4r4.pool-1-2.dynamic.totbb.net.,9.62
Tue Mar  1 05:54:04 2016,1456808044:,1.2.157.255,1,node-5xb.pool-1-2.dynamic.totbb.net.,12.946
Wed Mar  2 12:07:42 2016,1456916862:,1.2.162.144,1,node-6ts.pool-1-2.dynamic.totbb.net.,15.945
Tue Mar  1 03:25:30 2016,1456799130:,1.2.162.72,1,node-6rs.pool-1-2.dynamic.totbb.net.,8.52
Tue Mar  1 01:33:44 2016,1456792424:,1.2.163.30,1,node-6xq.pool-1-2.dynamic.totbb.net.,13.88
Tue Mar  1 09:36:05 2016,1456821365:,1.2.163.60,1,node-6yk.pool-1-2.dynamic.totbb.net.,27.939
Tue Mar  1 07:08:58 2016,1456812538:,1.2.169.154,1,node-87u.pool-1-2.dynamic.totbb.net.,11.947
Wed Mar  2 12:35:30 2016,1456918530:,1.2.171.165,1,node-8md.pool-1-2.dynamic.totbb.net.,11.255
Wed Mar  2 01:46:38 2016,1456879598:,1.2.172.2,1,node-8oy.pool-1-2.dynamic.totbb.net.,13.12
Tue Mar  1 03:09:33 2016,1456798173:,1.2.177.245,1,node-9v9.pool-1-2.dynamic.totbb.net.,9.347
Tue Mar  1 05:58:58 2016,1456808338:,1.2.179.195,1,node-a83.pool-1-2.dynamic.totbb.net.,10.346
Tue Mar  1 12:03:14 2016,1456830194:,1.2.183.42,1,node-awa.pool-1-2.dynamic.totbb.net.,13.726
Tue Mar  1 06:32:31 2016,1456810351:,1.2.193.118,1,node-cxi.pool-1-2.dynamic.totbb.net.,12.946
Tue Mar  1 03:40:54 2016,1456800054:,1.2.194.133,1,node-d51.pool-1-2.dynamic.totbb.net.,13.88
Tue Mar  1 03:26:43 2016,1456799203:,1.2.195.161,1,node-dcx.pool-1-2.dynamic.totbb.net.,21.98
Tue Mar  1 04:37:58 2016,1456803478:,1.2.198.59,1,node-dvf.pool-1-2.dynamic.totbb.net.,12.946
Wed Mar  2 05:04:53 2016,1456891493:,1.2.199.213,1,node-e6t.pool-1-2.dynamic.totbb.net.,9.347
Tue Mar  1 01:38:39 2016,1456792719:,1.2.203.83,2,node-evn.pool-1-2.dynamic.totbb.net.,32.794
Wed Mar  2 11:25:50 2016,1456914350:,1.2.206.37,1,node-ffp.pool-1-2.dynamic.totbb.net.,13.12
Tue Mar  1 07:19:22 2016,1456813162:,1.2.207.224,1,node-fs0.pool-1-2.dynamic.totbb.net.,13.12
Tue Mar  1 07:53:58 2016,1456815238:,1.2.210.3,1,node-g77.pool-1-2.dynamic.totbb.net.,9.347
Tue Mar  1 03:59:14 2016,1456801154:,1.2.221.75,1,node-iff.pool-1-2.dynamic.totbb.net.,12.161
Tue Mar  1 12:33:38 2016,1456832018:,1.2.224.122,1,node-j22.pool-1-2.dynamic.totbb.net.,26.204
Tue Mar  1 07:35:44 2016,1456814144:,1.2.224.56,1,node-j08.pool-1-2.dynamic.totbb.net.,78.291
Tue Mar  1 02:53:42 2016,1456797222:,1.2.224.73,1,node-j0p.pool-1-2.dynamic.totbb.net.,22.979
Tue Mar  1 08:27:25 2016,1456817245:,1.2.226.82,1,node-jf6.pool-1-2.dynamic.totbb.net.,26.204
Mon Feb 29 22:00:53 2016,1456779653:,1.2.227.80,1,node-jm8.pool-1-2.dynamic.totbb.net.,83.228
Tue Mar  1 09:44:14 2016,1456821854:,1.2.229.13,1,node-jyl.pool-1-2.dynamic.totbb.net.,24.994
Tue Mar  1 18:20:25 2016,1456852825:,1.2.229.152,1,node-k2g.pool-1-2.dynamic.totbb.net.,9
Tue Mar  1 04:35:24 2016,1456803324:,1.2.231.170,1,node-kh6.pool-1-2.dynamic.totbb.net.,8.346
Wed Mar  2 11:02:15 2016,1456912935:,1.2.234.24,1,node-kyg.pool-1-2.dynamic.totbb.net.,21.305
Tue Mar  1 05:06:29 2016,1456805189:,1.2.236.41,1,node-ld5.pool-1-2.dynamic.totbb.net.,9.347
Tue Mar  1 05:01:42 2016,1456804902:,1.2.241.73,1,node-mdl.pool-1-2.dynamic.totbb.net.,13.16
Wed Mar  2 13:09:23 2016,1456920563:,1.2.254.1,1,node-ow1.pool-1-2.dynamic.totbb.net.,62.123
Tue Mar  1 01:38:11 2016,1456792691:,1.2.255.249,1,node-pa1.pool-1-2.dynamic.totbb.net.,13.12
Wed Mar  2 18:02:23 2016,1456938143:,1.20.248.25,1,-,8.201
Tue Mar  1 07:50:28 2016,1456815028:,1.22.41.169,1,-,11.6
Tue Mar  1 08:27:11 2016,1456817231:,1.22.45.87,1,-,17.777
Tue Mar  1 20:59:32 2016,1456862372:,1.23.205.9,1,-,11.6
Tue Mar  1 08:54:51 2016,1456818891:,1.23.218.139,1,-,25.855
Wed Mar  2 13:02:45 2016,1456920165:,1.23.255.239,1,-,19.496
Wed Mar  2 15:55:27 2016,1456930527:,1.23.94.211,4,-,24.956
Tue Mar  1 13:20:40 2016,1456834840:,1.243.31.217,1,-,25.989
Tue Mar  1 06:12:33 2016,1456809153:,1.32.35.153,1,-,8.948
Mon Feb 29 22:04:41 2016,1456779881:,1.39.100.102,1,1-39-100-102.live.vodafone.in.,53.328
Tue Mar  1 09:42:45 2016,1456821765:,1.39.137.97,1,1-39-137-97.live.vodafone.in.,15.982
Wed Mar  2 15:58:11 2016,1456930691:,1.39.14.183,1,1-39-14-183.live.vodafone.in.,16.981
Tue Mar  1 07:17:00 2016,1456813020:,1.39.48.4,1,1-39-48-4.live.vodafone.in.,19.496
Wed Mar  2 04:47:00 2016,1456890420:,1.39.60.159,2,1-39-60-159.live.vodafone.in.,50.285
Tue Mar  1 21:16:46 2016,1456863406:,1.39.87.11,1,1-39-87-11.live.vodafone.in.,14.896
Wed Mar  2 17:12:44 2016,1456935164:,1.39.87.159,1,1-39-87-159.live.vodafone.in.,8.201
Tue Mar  1 12:06:41 2016,1456830401:,1.4.129.239,1,node-dr.pool-1-4.dynamic.totbb.net.,11.726
Tue Mar  1 01:26:46 2016,1456792006:,1.4.138.75,1,node-217.pool-1-4.dynamic.totbb.net.,10.346
Tue Mar  1 04:28:16 2016,1456802896:,1.4.158.217,1,node-63d.pool-1-4.dynamic.totbb.net.,11.947
Wed Mar  2 16:09:45 2016,1456931385:,1.4.168.138,1,node-80a.pool-1-4.dynamic.totbb.net.,67.545
Tue Mar  1 06:27:04 2016,1456810024:,1.4.176.57,1,node-9ix.pool-1-4.dynamic.totbb.net.,12.946
Tue Mar  1 06:12:27 2016,1456809147:,1.4.177.254,1,node-9vi.pool-1-4.dynamic.totbb.net.,13.12
Wed Mar  2 01:41:38 2016,1456879298:,1.4.213.0,1,node-gsg.pool-1-4.dynamic.totbb.net.,26.204
Tue Mar  1 05:11:57 2016,1456805517:,1.4.229.87,1,node-k0n.pool-1-4.dynamic.totbb.net.,12.946
Tue Mar  1 01:43:02 2016,1456792982:,1.4.241.164,1,node-mg4.pool-1-4.dynamic.totbb.net.,12.866
Wed Mar  2 17:15:36 2016,1456935336:,1.4.246.23,1,node-nbr.pool-1-4.dynamic.totbb.net.,9.117
Mon Feb 29 19:14:48 2016,1456769688:,1.4.247.88,1,node-nko.pool-1-4.dynamic.totbb.net.,13.12
Tue Mar  1 08:39:28 2016,1456817968:,1.4.250.202,1,node-o96.pool-1-4.dynamic.totbb.net.,85.119
Tue Mar  1 13:06:16 2016,1456833976:,1.47.133.69,1,-,33.747
Tue Mar  1 06:19:28 2016,1456809568:,1.47.74.168,1,-,13.481
Wed Mar  2 16:08:33 2016,1456931313:,1.47.8.239,1,-,13.788
Tue Mar  1 05:53:42 2016,1456808022:,1.53.120.70,1,-,45.216
Wed Mar  2 10:43:06 2016,1456911786:,1.53.141.197,1,-,54.725
Tue Mar  1 12:29:44 2016,1456831784:,1.53.193.11,1,-,16.65
Tue Mar  1 06:37:54 2016,1456810674:,1.53.193.124,1,-,9.848
Tue Mar  1 05:26:14 2016,1456806374:,1.54.174.231,1,-,42.068
Mon Feb 29 21:32:06 2016,1456777926:,1.54.43.95,1,-,16.889
Tue Mar  1 13:58:28 2016,1456837108:,1.55.100.45,1,-,51.731
Wed Mar  2 17:23:56 2016,1456935836:,1.55.101.242,1,-,50.066
Mon Feb 29 18:57:29 2016,1456768649:,1.55.152.110,1,-,30.085
Wed Mar  2 11:02:38 2016,1456912958:,1.55.169.115,1,-,8.107
Wed Mar  2 17:06:15 2016,1456934775:,1.55.169.81,1,-,35.025
Wed Mar  2 05:59:34 2016,1456894774:,1.55.98.236,1,-,46.67
Tue Mar  1 15:28:03 2016,1456842483:,1.9.140.170,1,-,18.677
Wed Mar  2 06:04:18 2016,1456895058:,1.9.62.100,1,-,20.89
Wed Mar  2 13:54:08 2016,1456923248:,2.134.138.164,1,2.134.138.164.megaline.telecom.kz.,64.038
Tue Mar  1 06:31:22 2016,1456810282:,2.145.60.30,1,-,16.981
Tue Mar  1 21:07:33 2016,1456862853:,2.153.28.185,1,2.153.28.185.dyn.user.ono.com.,41.722
Wed Mar  2 00:15:07 2016,1456874107:,2.160.182.235,1,-,26.408
Wed Mar  2 14:28:50 2016,1456925330:,2.161.76.196,1,-,22.14
Tue Mar  1 14:51:46 2016,1456840306:,2.163.125.142,1,-,23.1
Tue Mar  1 12:33:10 2016,1456831990:,2.164.110.80,1,-,15.762
Tue Mar  1 17:54:41 2016,1456851281:,2.173.105.194,1,-,33.542
Tue Mar  1 15:39:42 2016,1456843182:,2.174.18.45,1,-,34.181
Tue Mar  1 10:20:42 2016,1456824042:,2.176.173.28,1,-,8.403
Wed Mar  2 12:45:32 2016,1456919132:,2.176.222.231,1,-,8.201
Tue Mar  1 18:04:58 2016,1456851898:,2.176.6.73,1,-,8.681
Tue Mar  1 23:23:07 2016,1456870987:,2.177.216.201,1,-,10.506
Tue Mar  1 22:31:20 2016,1456867880:,2.177.23.242,1,-,26.994
Tue Mar  1 07:52:27 2016,1456815147:,2.178.1.100,1,-,19.496
Tue Mar  1 13:39:53 2016,1456835993:,2.178.117.99,1,-,14.763
Wed Mar  2 18:03:35 2016,1456938215:,2.178.209.130,1,-,8.201
Tue Mar  1 06:47:50 2016,1456811270:,2.178.77.162,1,-,15.982
Tue Mar  1 06:28:55 2016,1456810135:,2.179.252.24,1,-,9
Wed Mar  2 11:15:28 2016,1456913728:,2.179.91.189,1,-,14.896
Wed Mar  2 13:06:24 2016,1456920384:,2.180.24.58,1,-,25.855
Tue Mar  1 07:29:18 2016,1456813758:,2.181.250.34,1,-,20.676
Tue Mar  1 13:16:34 2016,1456834594:,2.181.80.218,1,-,32.096
Wed Mar  2 08:57:56 2016,1456905476:,2.182.115.170,1,-,10.107
Wed Mar  2 16:47:14 2016,1456933634:,2.182.3.133,1,-,25.542
Mon Feb 29 21:44:57 2016,1456778697:,2.183.65.194,1,-,8.201
Tue Mar  1 08:02:42 2016,1456815762:,2.184.188.114,1,-,24.684
Wed Mar  2 13:15:31 2016,1456920931:,2.184.188.86,1,-,25.542
Wed Mar  2 01:26:25 2016,1456878385:,2.184.57.26,1,-,25.542
Wed Mar  2 11:42:35 2016,1456915355:,2.185.149.134,1,-,12.717
Tue Mar  1 09:20:00 2016,1456820400:,2.185.153.171,1,-,11.548
Tue Mar  1 15:24:37 2016,1456842277:,2.185.16.252,1,-,23.144
Tue Mar  1 07:09:59 2016,1456812599:,2.185.175.29,1,-,25.2
Tue Mar  1 11:18:09 2016,1456827489:,2.185.18.194,1,-,10.643
Tue Mar  1 20:27:05 2016,1456860425:,2.185.3.243,1,-,10.549
Tue Mar  1 06:49:24 2016,1456811364:,2.185.74.171,1,-,9
Tue Mar  1 09:04:00 2016,1456819440:,2.186.13.150,1,-,8.262
Tue Mar  1 08:44:01 2016,1456818241:,2.186.13.230,1,-,11.6
Tue Mar  1 06:37:30 2016,1456810650:,2.187.182.124,1,-,13.686
Wed Mar  2 06:29:13 2016,1456896553:,2.187.204.219,1,-,9.117
Tue Mar  1 12:57:28 2016,1456833448:,2.187.223.19,1,-,16.981
Wed Mar  2 11:04:47 2016,1456913087:,2.188.145.131,1,-,8.384
Tue Mar  1 07:27:24 2016,1456813644:,2.188.145.168,1,-,11.6
Tue Mar  1 07:55:15 2016,1456815315:,2.191.64.44,1,-,11.6
Tue Mar  1 12:42:53 2016,1456832573:,2.236.79.42,1,-,32.087
Wed Mar  2 17:44:56 2016,1456937096:,2.240.53.8,1,x2f03508.dyn.telefonica.de.,13.79
Tue Mar  1 12:34:58 2016,1456832098:,2.244.17.84,1,x2f41154.dyn.telefonica.de.,21.79
Tue Mar  1 06:41:58 2016,1456810918:,2.32.251.188,1,net-2-32-251-188.cust.dsl.teletu.it.,27.391
Tue Mar  1 21:22:53 2016,1456863773:,2.38.70.43,1,net-2-38-70-43.cust.vodafonedsl.it.,15.398
Tue Mar  1 09:13:20 2016,1456820000:,2.50.128.115,1,-,12.947
Tue Mar  1 14:09:12 2016,1456837752:,2.50.131.25,1,-,13.478
Wed Mar  2 12:00:17 2016,1456916417:,2.50.139.240,1,-,26.541
Tue Mar  1 09:02:49 2016,1456819369:,2.50.15.55,1,-,24.201
Tue Mar  1 08:10:16 2016,1456816216:,2.50.42.215,1,-,53.44
Tue Mar  1 09:21:50 2016,1456820510:,2.50.53.231,1,bba311635.alshamil.net.ae.,10.29
Tue Mar  1 13:50:00 2016,1456836600:,2.86.186.182,1,ppp-2-86-186-182.home.otenet.gr.,10.988
Tue Mar  1 00:06:46 2016,1456787206:,2.86.50.54,1,ppp-2-86-50-54.home.otenet.gr.,27.057
Tue Mar  1 22:44:49 2016,1456868689:,5.100.228.210,1,-,25.132
Tue Mar  1 20:09:10 2016,1456859350:,5.102.195.61,2,CUST-61.195.102.5.018.net.il.,45.744
Wed Mar  2 14:24:14 2016,1456925054:,5.104.107.233,1,user-233.hrbilgi.com.,28.104
Wed Mar  2 16:09:58 2016,1456931398:,5.105.107.4,1,5-105-107-4.mytrinity.com.ua.,67.145
Wed Mar  2 17:05:52 2016,1456934752:,5.105.229.86,1,5-105-229-86.mytrinity.com.ua.,43.277
Wed Mar  2 12:37:50 2016,1456918670:,5.113.12.109,1,-,21.481
Tue Mar  1 10:58:38 2016,1456826318:,5.113.2.206,1,-,9
Tue Mar  1 18:58:55 2016,1456855135:,5.114.34.234,1,-,76.706
Tue Mar  1 06:22:59 2016,1456809779:,5.114.70.15,1,-,8.948
Wed Mar  2 17:45:46 2016,1456937146:,5.116.231.28,1,-,8.201
Mon Feb 29 21:33:58 2016,1456778038:,5.120.138.14,1,-,8.201
Tue Mar  1 15:56:09 2016,1456844169:,5.120.225.37,1,-,14.896
Tue Mar  1 22:50:54 2016,1456869054:,5.124.25.20,1,-,8.948
Wed Mar  2 11:43:29 2016,1456915409:,5.136.214.182,1,-,52.725
Wed Mar  2 04:14:26 2016,1456888466:,5.136.244.134,1,-,18.637
Tue Mar  1 07:16:26 2016,1456812986:,5.144.60.39,1,dynamic.5.144.60.39.ccc.net.il.,51.423
Tue Mar  1 18:25:09 2016,1456853109:,5.147.218.233,1,ip-5-147-218-233.unitymediagroup.de.,19.991
Mon Feb 29 20:45:26 2016,1456775126:,5.153.128.70,1,-,38.036
Tue Mar  1 18:43:48 2016,1456854228:,5.154.126.223,1,-,46.679
Tue Mar  1 17:08:28 2016,1456848508:,5.156.152.27,1,-,53.231
Tue Mar  1 14:19:57 2016,1456838397:,5.156.233.139,1,-,54.677
Tue Mar  1 02:26:43 2016,1456795603:,5.156.74.93,1,-,61.546
Wed Mar  2 13:09:04 2016,1456920544:,5.157.81.136,1,-,11.112
Wed Mar  2 14:43:11 2016,1456926191:,5.160.149.180,1,-,24.637
Tue Mar  1 05:16:28 2016,1456805788:,5.160.181.249,1,-,18.922
Tue Mar  1 07:45:14 2016,1456814714:,5.160.81.200,1,-,8.043
Tue Mar  1 20:40:20 2016,1456861220:,5.170.106.1,1,-,25.784
Tue Mar  1 16:24:51 2016,1456845891:,5.170.106.220,1,-,32.096
Tue Mar  1 20:47:55 2016,1456861675:,5.170.12.156,1,-,13.91
Tue Mar  1 12:22:29 2016,1456831349:,5.170.198.220,1,-,16.896
Wed Mar  2 14:01:50 2016,1456923710:,5.170.79.152,1,-,21.806
Tue Mar  1 21:27:33 2016,1456864053:,5.172.234.105,1,ip-5-172-234-105.multi.internet.cyfrowypolsat.pl.,41.782
Wed Mar  2 11:09:34 2016,1456913374:,5.172.236.111,1,ip-5-172-236-111.multi.internet.cyfrowypolsat.pl.,22.918
Wed Mar  2 10:20:54 2016,1456910454:,5.172.247.209,1,ip-5-172-247-209.free.aero2.net.pl.,64.031
Wed Mar  2 00:05:30 2016,1456873530:,5.172.247.243,1,ip-5-172-247-243.free.aero2.net.pl.,57.445
Tue Mar  1 08:00:20 2016,1456815620:,5.190.181.174,1,-,17.777
Wed Mar  2 05:46:02 2016,1456893962:,5.190.79.152,1,-,30.961
Tue Mar  1 06:47:40 2016,1456811260:,5.198.185.53,1,-,12.59
Wed Mar  2 01:46:15 2016,1456879575:,5.2.1.18,1,-,40.527
Tue Mar  1 06:44:11 2016,1456811051:,5.2.198.58,1,-,16.484
Tue Mar  1 07:41:42 2016,1456814502:,5.200.145.159,1,-,11.81
Wed Mar  2 17:13:50 2016,1456935230:,5.200.156.152,1,-,14.511
Tue Mar  1 09:39:10 2016,1456821550:,5.200.157.134,1,-,21.096
Tue Mar  1 19:11:24 2016,1456855884:,5.200.69.186,1,-,24.175
Wed Mar  2 12:40:47 2016,1456918847:,5.202.117.52,1,-,10.547
Wed Mar  2 11:22:00 2016,1456914120:,5.202.121.242,1,-,11.6
Tue Mar  1 07:04:56 2016,1456812296:,5.202.165.10,1,-,8.948
Tue Mar  1 06:11:12 2016,1456809072:,5.202.182.122,1,-,14.095
Tue Mar  1 06:30:03 2016,1456810203:,5.202.182.61,1,-,8.948
Tue Mar  1 18:19:41 2016,1456852781:,5.202.220.142,1,-,9.881
Wed Mar  2 12:43:28 2016,1456919008:,5.202.86.127,1,-,8.201
Wed Mar  2 09:15:43 2016,1456906543:,5.204.6.212,1,netacc-gpn-204-6-212.pool.telenor.hu.,67.537
Mon Feb 29 21:31:56 2016,1456777916:,5.211.12.18,1,-,15.792
Tue Mar  1 08:47:04 2016,1456818424:,5.219.100.198,1,-,11.79
Tue Mar  1 21:35:53 2016,1456864553:,5.219.155.55,1,-,11.6
Tue Mar  1 09:10:36 2016,1456819836:,5.219.180.128,1,-,11.6
Mon Feb 29 21:32:22 2016,1456777942:,5.219.207.118,1,-,15.48
Tue Mar  1 20:28:35 2016,1456860515:,5.219.212.20,1,-,26.485
Wed Mar  2 14:35:05 2016,1456925705:,5.219.227.252,1,-,12.576
Tue Mar  1 17:27:43 2016,1456849663:,5.219.244.16,1,-,18.985
Tue Mar  1 08:37:59 2016,1456817879:,5.219.6.182,1,-,9.857
Wed Mar  2 13:31:08 2016,1456921868:,5.219.7.219,1,-,19.496
Tue Mar  1 18:52:25 2016,1456854745:,5.220.16.113,1,-,19.301
Tue Mar  1 16:04:44 2016,1456844684:,5.220.174.147,1,-,34.181
Wed Mar  2 12:47:19 2016,1456919239:,5.220.195.24,1,-,14.047
Tue Mar  1 19:45:32 2016,1456857932:,5.220.64.91,1,-,9.31
Wed Mar  2 14:44:41 2016,1456926281:,5.221.170.65,1,-,11
Tue Mar  1 07:44:08 2016,1456814648:,5.221.175.1,1,-,10.763
Wed Mar  2 06:36:50 2016,1456897010:,5.221.207.146,1,-,10.084
Tue Mar  1 21:54:07 2016,1456865647:,5.222.160.162,1,-,26.541
Tue Mar  1 06:31:57 2016,1456810317:,5.222.162.232,1,-,11.263
Wed Mar  2 12:12:36 2016,1456917156:,5.222.171.98,1,-,16.295
Tue Mar  1 18:18:05 2016,1456852685:,5.222.231.104,1,-,10.39
Tue Mar  1 15:41:36 2016,1456843296:,5.222.75.68,1,-,18.196
Tue Mar  1 08:36:42 2016,1456817802:,5.222.77.134,1,-,15.296
Tue Mar  1 09:27:42 2016,1456820862:,5.222.80.52,1,-,11.6
Tue Mar  1 16:29:36 2016,1456846176:,5.223.104.223,1,-,21.581
Tue Mar  1 08:12:03 2016,1456816323:,5.223.214.62,1,-,14.896
Wed Mar  2 15:49:03 2016,1456930143:,5.224.121.29,1,-,34.594
Wed Mar  2 13:28:08 2016,1456921688:,5.224.197.84,1,-,20.985
Tue Mar  1 16:22:34 2016,1456845754:,5.224.231.94,1,-,39.902
Tue Mar  1 14:31:30 2016,1456839090:,5.224.67.230,1,-,45.95
Wed Mar  2 12:24:22 2016,1456917862:,5.224.88.210,1,-,26.985
Tue Mar  1 21:14:46 2016,1456863286:,5.225.236.212,1,-,26.409
Mon Feb 29 19:06:26 2016,1456769186:,5.228.57.57,1,broadband-5-228-57-57.nationalcablenetworks.ru.,9.138
Tue Mar  1 08:29:45 2016,1456817385:,5.232.108.124,1,-,21.581
Wed Mar  2 06:29:37 2016,1456896577:,5.233.167.221,1,-,14.159
Wed Mar  2 12:12:21 2016,1456917141:,5.233.186.12,1,-,19.186
Wed Mar  2 15:24:53 2016,1456928693:,5.234.202.34,1,-,9.31
Tue Mar  1 07:20:23 2016,1456813223:,5.234.238.181,1,-,19.496
Tue Mar  1 07:01:25 2016,1456812085:,5.234.250.215,1,-,8.948
Tue Mar  1 15:31:56 2016,1456842716:,5.234.254.170,1,-,39.141
Wed Mar  2 16:50:01 2016,1456933801:,5.235.107.89,1,-,11.6
Tue Mar  1 07:01:45 2016,1456812105:,5.235.113.153,1,-,19.496
Mon Feb 29 21:32:37 2016,1456777957:,5.235.122.168,1,-,10.389
Tue Mar  1 20:40:02 2016,1456861202:,5.235.134.166,1,-,10.549
Tue Mar  1 09:04:58 2016,1456819498:,5.236.125.33,1,-,10.763
Tue Mar  1 09:42:38 2016,1456821758:,5.236.18.106,1,-,10.549
Tue Mar  1 13:17:01 2016,1456834621:,5.236.197.185,1,-,10.449
Tue Mar  1 21:44:56 2016,1456865096:,5.236.25.200,1,-,24.684
